"","Date","Tree.ID","VWC_mean","Time","Table","Row","Sensortype","Treatment","Tree.Species","Remarks","Date2","Type","REW"
"1",2023-06-26,"B1",NA,"19:15",2,"R7","C","D","European Beech","","26.06.","Measure",NA
"2",2023-06-26,"B13",NA,"15:53",1,"R2","B","W","European Beech","","26.06.","Measure",NA
"3",2023-06-26,"B15",47.1,"15:35",1,"R1","B","D","European Beech","","26.06.","Measure",0.82575471087803
"4",2023-06-26,"B17",47.4333333333333,"15:49",1,"R2","B","W","European Beech","","26.06.","Measure",0.831598693262163
"5",2023-06-26,"B2",NA,"16:17",1,"R3","B","W","European Beech","","26.06.","Measure",NA
"6",2023-06-26,"B23",NA,"18:42",2,"R8","B","W","European Beech","","26.06.","Measure",NA
"7",2023-06-26,"B24",40.8666666666667,"16:23",1,"R3","B","D","European Beech","","26.06.","Measure",0.716472240294738
"8",2023-06-26,"B26",NA,"18:10",2,"R6","B","D","European Beech","","26.06.","Measure",NA
"9",2023-06-26,"B27",NA,"15:44",1,"R1","C","D","European Beech","","26.06.","Measure",NA
"10",2023-06-26,"B3",39.6,"16:40",1,"R4","B","W","European Beech","","26.06.","Measure",0.694265107235031
"11",2023-06-26,"B30",NA,"19:09",2,"R7","B","W","European Beech","","26.06.","Measure",NA
"12",2023-06-26,"B31",NA,"19:13",2,"R7","C","W","European Beech","","26.06.","Measure",NA
"13",2023-06-26,"B34",45.65,"19:08",2,"R7","B","W","European Beech","","26.06.","Measure",0.80033338750705
"14",2023-06-26,"B35",43.6666666666667,"16:36",1,"R4","B","D","European Beech","","26.06.","Measure",0.765561692321457
"15",2023-06-26,"B37",NA,"18:15",2,"R6","C","D","European Beech","","26.06.","Measure",NA
"16",2023-06-26,"B38",NA,"18:14",2,"R6","B","D","European Beech","","26.06.","Measure",NA
"17",2023-06-26,"B4",42.8333333333333,"15:42",1,"R1","B","D","European Beech","","26.06.","Measure",0.750951736361124
"18",2023-06-26,"B40",NA,"18:35",2,"R5","B","D","European Beech","","26.06.","Measure",NA
"19",2023-06-26,"B43",NA,"18:46",2,"R8","B","W","European Beech","","26.06.","Measure",NA
"20",2023-06-26,"B44",45.4666666666667,"15:26",1,"R1","A","W","European Beech","","26.06.","Measure",0.797119197195777
"21",2023-06-26,"D10",NA,"18:54",2,"R8","D","D","Douglas Fir","","26.06.","Measure",NA
"22",2023-06-26,"D15",NA,"18:55",2,"R8","B","W","Douglas Fir","","26.06.","Measure",NA
"23",2023-06-26,"D18",NA,"15:46",1,"R2","C","W","Douglas Fir","","26.06.","Measure",NA
"24",2023-06-26,"D19",40.6333333333333,"17:03",2,"R5","C","D","Douglas Fir","","26.06.","Measure",0.712381452625844
"25",2023-06-26,"D21",NA,"15:30",1,"R1","B","D","Douglas Fir","","26.06.","Measure",NA
"26",2023-06-26,"D25",NA,"18:19",2,"R6","C","W","Douglas Fir","","26.06.","Measure",NA
"27",2023-06-26,"D28",NA,"18:11",2,"R6","B","W","Douglas Fir","","26.06.","Measure",NA
"28",2023-06-26,"D3",40.7,"16:33",1,"R4","C","W","Douglas Fir","","26.06.","Measure",0.713550249102671
"29",2023-06-26,"D31",NA,"16:07",1,"R3","C","D","Douglas Fir","","26.06.","Measure",NA
"30",2023-06-26,"D33",NA,"18:57",2,"R8","D","D","Douglas Fir","","26.06.","Measure",NA
"31",2023-06-26,"D35",55.1666666666667,"18:48",2,"R8","B","D","Douglas Fir","","26.06.","Measure",0.967179084574055
"32",2023-06-26,"D39",NA,"16:04",1,"R2","B","W","Douglas Fir","","26.06.","Measure",NA
"33",2023-06-26,"D4",42.3666666666667,"16:11",1,"R3","C","W","Douglas Fir","","26.06.","Measure",0.742770161023337
"34",2023-06-26,"D40",56.2,"19:06",2,"R7","B","D","Douglas Fir","","26.06.","Measure",0.985295429964868
"35",2023-06-26,"D41",41.5666666666667,"15:59",1,"R2","D","D","Douglas Fir","","26.06.","Measure",0.728744603301418
"36",2023-06-26,"D42",57,"17:13",2,"R5","B","W","Douglas Fir","","26.06.","Measure",0.999320987686787
"37",2023-06-26,"D43",42.8666666666667,"15:17",1,"R1","C","D","Douglas Fir","","26.06.","Measure",0.751536134599537
"38",2023-06-26,"D45",43.4333333333333,"18:25",2,"R6","D","W","Douglas Fir","","26.06.","Measure",0.761470904652564
"39",2023-06-26,"D7",NA,"15:55",1,"R2","A","D","Douglas Fir","","26.06.","Measure",NA
"40",2023-06-26,"D9",43.4666666666667,"16:14",1,"R3","D","W","Douglas Fir","","26.06.","Measure",0.762055302890977
"41",2023-06-26,"E1",42.9666666666667,"19:33",1,"R2","C","D","Pedunculate Oak","","26.06.","Measure",0.753289329314777
"42",2023-06-26,"E12",36.5666666666667,"16:18",1,"R3","B","D","Pedunculate Oak","","26.06.","Measure",0.641084867539419
"43",2023-06-26,"E13",NA,"18:09",2,"R6","B","W","Pedunculate Oak","","26.06.","Measure",NA
"44",2023-06-26,"E14",55.6666666666667,NA,2,"R7","C","D","Pedunculate Oak","","26.06.","Measure",0.975945058150255
"45",2023-06-26,"E15",NA,"18:51",2,"R8","A","W","Pedunculate Oak","","26.06.","Measure",NA
"46",2023-06-26,"E19",38.8333333333333,"17:07",2,"R5","Not indicated","D","Pedunculate Oak","","26.06.","Measure",0.680823947751525
"47",2023-06-26,"E20",NA,"18:50",2,"R8","B","D","Pedunculate Oak","","26.06.","Measure",NA
"48",2023-06-26,"E22",45.4666666666667,"15:41",1,"R1","B","W","Pedunculate Oak","","26.06.","Measure",0.797119197195777
"49",2023-06-26,"E25",39.5666666666667,"17:16",2,"R5","C","D","Pedunculate Oak","","26.06.","Measure",0.693680708996618
"50",2023-06-26,"E29",55.65,"16:28",1,"R4","C","D","Pedunculate Oak","","26.06.","Measure",0.975652859031048
"51",2023-06-26,"E3",49.3666666666667,"17:10",2,"R5","C","W","Pedunculate Oak","","26.06.","Measure",0.865493791090136
"52",2023-06-26,"E30",38.4333333333333,"16:19",1,"R3","B","W","Pedunculate Oak","","26.06.","Measure",0.673811168890565
"53",2023-06-26,"E34",38.4333333333333,"15:47",1,"R2","D","W","Pedunculate Oak","","26.06.","Measure",0.673811168890565
"54",2023-06-26,"E35",39.2333333333333,"16:22",1,"R3","B","D","Pedunculate Oak","","26.06.","Measure",0.687836726612485
"55",2023-06-26,"E37",NA,"19:14",2,"R7","B","W","Pedunculate Oak","","26.06.","Measure",NA
"56",2023-06-26,"E40",41.4,"16:31",1,"R4","B","D","Pedunculate Oak","","26.06.","Measure",0.725822612109351
"57",2023-06-26,"E45",53.7333333333333,"18:28",2,"R6","B","D","Pedunculate Oak","","26.06.","Measure",0.942049960322282
"58",2023-06-26,"E5",40.8666666666667,"16:16",1,"R3","B","W","Pedunculate Oak","","26.06.","Measure",0.716472240294738
"59",2023-06-26,"E51",35.6,"19:05",2,"R7","B","W","Pedunculate Oak","","26.06.","Measure",0.624137318625432
"60",2023-06-26,"E6",27.9,"16:39",1,"R4","B","W","Pedunculate Oak","","26.06.","Measure",0.489141325551954
"61",2023-06-26,"T1",NA,"18:43",2,"R8","B","W","White Fir","","26.06.","Measure",NA
"62",2023-06-26,"T10",NA,"16:25",1,"R4","Not indicated","W","White Fir","","26.06.","Measure",NA
"63",2023-06-26,"T11",43.9,"15:20",1,"R1","C","W","White Fir","","26.06.","Measure",0.76965247999035
"64",2023-06-26,"T14",41.65,"15:32",1,"R1","A","W","White Fir","","26.06.","Measure",0.730205598897451
"65",2023-06-26,"T2",43.1,"16:35",1,"R4","B","W","White Fir","","26.06.","Measure",0.755626922268431
"66",2023-06-26,"T21",42.6333333333333,"18:13",2,"R6","C","D","White Fir","","26.06.","Measure",0.747445346930644
"67",2023-06-26,"T25",41.3,"17:06",2,"R5","B","W","White Fir","","26.06.","Measure",0.724069417394111
"68",2023-06-26,"T28",43.1,"16:20",1,"R3","B","D","White Fir","","26.06.","Measure",0.755626922268431
"69",2023-06-26,"T29",NA,"17:17",2,"R5","C","W","White Fir","","26.06.","Measure",NA
"70",2023-06-26,"T3",49.1333333333333,"15:14",1,"R1","A","W","White Fir","","26.06.","Measure",0.861403003421243
"71",2023-06-26,"T31",46.2,"16:34",1,"R4","B","D","White Fir","","26.06.","Measure",0.80997595844087
"72",2023-06-26,"T33",40.7666666666667,"17:04",2,"R5","C","W","White Fir","","26.06.","Measure",0.714719045579498
"73",2023-06-26,"T4",41,"15:57",1,"R2","B","D","White Fir","","26.06.","Measure",0.718809833248391
"74",2023-06-26,"T42",NA,"19:24",2,"R7","A","D","White Fir","","26.06.","Measure",NA
"75",2023-06-26,"T43",46.7,"16:37",1,"R4","A","D","White Fir","","26.06.","Measure",0.81874193201707
"76",2023-06-26,"T44",NA,"19:00",2,"R7","B","D","White Fir","","26.06.","Measure",NA
"77",2023-06-26,"T45",NA,"17:11",2,"R5","B","D","White Fir","","26.06.","Measure",NA
"78",2023-06-26,"T5",42.1333333333333,"15:51",1,"R2","B","D","White Fir","","26.06.","Measure",0.738679373354444
"79",2023-06-26,"T6",NA,"18:49",2,"R8","C","D","White Fir","","26.06.","Measure",NA
"80",2023-06-26,"T9",NA,"18:16",2,"R6","B","W","White Fir","","26.06.","Measure",NA
"81",2023-06-27,"B1",38.3333333333333,"17:26",2,"R7","C","D","European Beech","","27.06.","Measure",0.672057974175325
"82",2023-06-27,"B13",NA,NA,NA,NA,NA,"W","European Beech",NA,NA,NA,NA
"83",2023-06-27,"B15",45.35,NA,NA,NA,NA,"D","European Beech",NA,NA,NA,0.79507380336133
"84",2023-06-27,"B17",44.5416666666667,NA,NA,NA,NA,"W","European Beech",NA,NA,NA,0.780902146079807
"85",2023-06-27,"B2",NA,NA,NA,NA,NA,"W","European Beech",NA,NA,NA,NA
"86",2023-06-27,"B23",42.3666666666667,"18:14",2,"R8","B","W","European Beech","","27.06.","Measure",0.742770161023337
"87",2023-06-27,"B24",38.4333333333333,NA,NA,NA,NA,"D","European Beech",NA,NA,NA,0.673811168890565
"88",2023-06-27,"B26",NA,"15:56",2,"R6","B","D","European Beech","","27.06.","Measure",NA
"89",2023-06-27,"B27",NA,NA,NA,NA,NA,"D","European Beech",NA,NA,NA,NA
"90",2023-06-27,"B3",38.1166666666667,NA,NA,NA,NA,"W","European Beech",NA,NA,NA,0.668259385625638
"91",2023-06-27,"B30",38.95,"17:30",2,"R7","B","W","European Beech","","27.06.","Measure",0.682869341585972
"92",2023-06-27,"B31",38.2,"17:10",2,"R7","C","W","European Beech","sehr geringes Signal","27.06.","Measure",0.669720381221672
"93",2023-06-27,"B34",42.8,"17:35",2,"R7","B","W","European Beech","","27.06.","Measure",0.750367338122711
"94",2023-06-27,"B35",41.8333333333333,NA,NA,NA,NA,"D","European Beech",NA,NA,NA,0.733419789208724
"95",2023-06-27,"B37",38,"15:29",2,"R6","C","D","European Beech","","27.06.","Measure",0.666213991791192
"96",2023-06-27,"B38",NA,"15:42",2,"R6","B","D","European Beech","","27.06.","Measure",NA
"97",2023-06-27,"B4",40.65,NA,NA,NA,NA,"D","European Beech",NA,NA,NA,0.712673651745051
"98",2023-06-27,"B40",37.2,"16:39",2,"R5","B","D","European Beech","","27.06.","Measure",0.652188434069272
"99",2023-06-27,"B43",37.8333333333333,"18:01",2,"R8","B","W","European Beech","","27.06.","Measure",0.663292000599125
"100",2023-06-27,"B44",42.9833333333333,NA,NA,NA,NA,"W","European Beech",NA,NA,NA,0.753581528433984
"101",2023-06-27,"D10",41,"18:07",2,"R8","D","D","Douglas Fir","","27.06.","Measure",0.718809833248391
"102",2023-06-27,"D15",32.4,"17:55",2,"R8","B","W","Douglas Fir","sehr geringes Signal","27.06.","Measure",0.568035087737753
