"","Tree.ID","Treatment","Tree.Species","Date","VPD_adj_dailyavg_kPa","VPD_adj_dailymax_kPa","VPD_adj_dailymin_kPa","VWC_mean","min_rel_TWD","FirstDayAfterLastGRO","rounded_rel_TWD","Percentage_w_cros","Percentage_color","Threshold","ThresholdDate","Threshold_Priority","Tree.ID_num","Tree.ID_num_cat"
"1","E45_D","Droughted","Quercus robur",2023-06-21,1.20016104465189,3.07694070684925,0.307047103227257,NA,0,NA,0,0,"lightblue","Date_nothres",2023-06-21,0,1,1
"2","E45_D","Droughted","Quercus robur",2023-06-22,1.61209250454781,3.56220449753017,0.309095704848644,NA,0,NA,0,0,"lightblue","Date_nothres",2023-06-22,0,1,1
"3","E45_D","Droughted","Quercus robur",2023-06-23,0.614842837401228,1.33692021483506,0.253461780079003,NA,0,NA,0,0,"lightblue","Date_nothres",2023-06-23,0,1,1
"4","E45_D","Droughted","Quercus robur",2023-06-24,1.11200683811307,2.5439071273605,0.272035257544438,NA,0,NA,0,0,"lightblue","Date_nothres",2023-06-24,0,1,1
"5","E45_D","Droughted","Quercus robur",2023-06-25,1.59356342931108,3.17210064902844,0.331888761753744,NA,0.181045163403327,NA,0.18439554,22,"#E8A056","MinTWDnot0_Date",2023-06-25,1,1,1
"6","E45_D","Droughted","Quercus robur",2023-06-26,1.5271566458,3.53509290914514,0.400611118299482,53.7333333333333,0,NA,0,0,"lightblue","Date_nothres",2023-06-26,0,1,1
"7","E45_D","Droughted","Quercus robur",2023-06-27,1.08347754512509,1.93752218917559,0.35060754902498,23.7,0,NA,0,0,"lightblue","Date_nothres",2023-06-27,0,1,1
"8","E45_D","Droughted","Quercus robur",2023-06-28,1.05105813558999,2.42222108467977,0.356730324242941,22.1761904761905,0,NA,0,0,"lightblue","Date_nothres",2023-06-28,0,1,1
"9","E45_D","Droughted","Quercus robur",2023-06-29,1.64574989874823,3.52489699297613,0.329491491566478,20.652380952381,0.398323704808401,NA,0.40231754,48,"#DC8681","MinTWDnot0_Date",2023-06-29,1,1,1
"10","E45_D","Droughted","Quercus robur",2023-06-30,0.720400860396134,1.44247778479893,0.277771950580657,19.1285714285714,0.313493999153025,NA,0.31011977,37,"#E29170","MinTWDnot0_Date",2023-06-30,1,1,1
"11","E45_D","Droughted","Quercus robur",2023-07-01,0.961875526882093,2.33760304494703,0.184176686574739,17.6047619047619,0,NA,0,0,"lightblue","Date_nothres",2023-07-01,0,1,1
"12","E45_D","Droughted","Quercus robur",2023-07-02,0.767131291988119,2.06711464113689,0.2205938415116,16.0809523809524,0.454127883050961,2023-07-02,0.45260723,54,"#D9808B","MinTWDnot0_Date",2023-07-02,1,1,1
"13","E45_D","Droughted","Quercus robur",2023-07-03,1.10591759116252,2.17521819323707,0.249920787809391,14.5571428571429,0.539988717165357,2023-07-02,0.53642338,64,"#D37799","MinTWDnot0_Date",2023-07-03,1,1,1
"14","E45_D","Droughted","Quercus robur",2023-07-04,1.27612121576495,2.68778825588423,0.301606574921278,13.0333333333333,0.622186614641771,2023-07-02,0.62023954,74,"#CC6DA8","MinTWDnot0_Date",2023-07-04,1,1,1
"15","E45_D","Droughted","Quercus robur",2023-07-05,0.608918840085567,1.47820962220585,0.213709707505889,12.3444444444444,0.657220031410219,2023-07-02,0.653766,78,"#C969AE","MinTWDnot0_Date",2023-07-05,1,1,1
"16","E45_D","Droughted","Quercus robur",2023-07-06,1.31490084497229,2.81807245477182,0.187441541137291,11.6555555555556,0.709771835987618,2023-07-02,0.71243731,85,"#C361B8","MinTWDnot0_Date",2023-07-06,1,1,1
