"","ID","Temperature","Position","Radiances_raw","imgname","Date","Tree.ID","Table","Row","Line","Treatment","Tree.Species"
"1",1,19.8328475952148,"Tree_Shade",13353,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"2",2,19.6387920379639,"Tree_Shade",13325,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"3",3,19.6734733581543,"Tree_Shade",13330,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"4",4,19.6457290649414,"Tree_Shade",13326,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"5",5,19.7150745391846,"Tree_Shade",13336,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"6",6,21.7324123382568,"Black_Shade",13630,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"7",7,21.9563217163086,"Black_Shade",13663,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"8",8,21.6644630432129,"Black_Shade",13620,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"9",9,21.9224281311035,"Black_Shade",13658,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"10",10,22.0511627197266,"Black_Shade",13677,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"11",11,19.9020614624023,"Green_Wet_Shade",13363,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"12",12,19.8536167144775,"Green_Wet_Shade",13356,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"13",13,19.8536167144775,"Green_Wet_Shade",13356,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"14",14,19.701208114624,"Green_Wet_Shade",13334,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"15",15,20.0679759979248,"Green_Wet_Shade",13387,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"16",16,21.1123580932617,"Green_Dry_Shade",13539,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"17",17,21.1191940307617,"Green_Dry_Shade",13540,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"18",18,21.2557907104492,"Green_Dry_Shade",13560,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"19",19,21.2557907104492,"Green_Dry_Shade",13560,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"20",20,21.160192489624,"Green_Dry_Shade",13546,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"21",21,20.9413375854492,"Silver_Shade",13514,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"22",22,21.0576648712158,"Silver_Shade",13531,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"23",23,21.0508251190186,"Silver_Shade",13530,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"24",24,20.9550304412842,"Silver_Shade",13516,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"25",25,21.160192489624,"Silver_Shade",13546,"ThermalCamera2023-07-25_11-30-46+0200_B27_D_temperature","2023-07-25","B27",1,"R1",3,"D","Fagus Sylvatica"
"26",1,19.7427978515625,"Tree_Shade",13340,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"27",2,19.8120746612549,"Tree_Shade",13350,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"28",3,19.8813018798828,"Tree_Shade",13360,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"29",4,19.7358684539795,"Tree_Shade",13339,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"30",5,19.8536167144775,"Tree_Shade",13356,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"31",6,22.3148937225342,"Black_Shade",13716,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"32",7,22.5442504882812,"Black_Shade",13750,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"33",8,22.15944480896,"Black_Shade",13693,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"34",9,22.7932529449463,"Black_Shade",13787,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"35",10,22.2000198364258,"Black_Shade",13699,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"36",11,21.6032676696777,"Green_Dry_Shade",13611,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"37",12,21.5760593414307,"Green_Dry_Shade",13607,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"38",13,21.6644630432129,"Green_Dry_Shade",13620,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"39",14,21.6372699737549,"Green_Dry_Shade",13616,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"40",15,21.7120323181152,"Green_Dry_Shade",13627,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"41",16,19.8190002441406,"Green_Wet_Shade",13351,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"42",17,19.8951416015625,"Green_Wet_Shade",13362,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"43",18,19.9020614624023,"Green_Wet_Shade",13363,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"44",19,19.791296005249,"Green_wet_Shade",13347,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"45",20,19.8190002441406,"Green_Wet_Shade",13351,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"46",21,21.6576652526855,"Silver_Shade",13619,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"47",22,21.7256202697754,"Silver_Shade",13629,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"48",23,21.5352306365967,"Silver_Shade",13601,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"49",24,21.6100692749023,"Silver_Shade",13612,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"50",25,21.5488414764404,"Silver_Shade",13603,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"51",1,20.2198181152344,"Tree_Shade",13409,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
